_id,name,slug,description,type,publish
JyA2ZRnlkXEH,Phim Hàn Quốc,phim-han-quoc,empty,topic,TRUE
ogwpLwKE5Puq,Phim Trung Quốc mới,phim-trung-quoc-moi,empty,topic,TRUE
olC9ihVTksCC,Phim US-UK mới,phim-us-uk-moi,empty,topic,TRUE
KZqYOAEUXKTw,Phim Điện Ảnh MỚi Coóng,phim-dien-anh-moi-coong,empty,hot,TRUE
9Yy4RWjSI8JN,Top 10 phim bộ hôm nay,top-10-phim-bo-hom-nay,empty,features,TRUE
wNRGNOeJksLV,Mãn Nhãn với Phim Chiếu Rạp,man-nhan-voi-phim-chieu-rap,empty,hot,TRUE
XRxg7uIHH_AW,Tôi nhớ Disney của Ngày Xưa!!,toi-nho-disney-cua-ngay-xua,empty,hot,TRUE
7UDKECpSuwW0,Top 10 phim lẻ hôm nay,top-10-phim-le-hom-nay,empty,features,TRUE
S3GEdwVngJNa,Phim Thiếu Nhi mà Người Lớn Vẫn Thích Cày,phim-thieu-nhi-ma-nguoi-lon-van-thich-cay,empty,hot,TRUE
bUK6tNguaiG9,Phim Sắp Tới Trên Rổ,phim-sap-toi-tren-ro,empty,hot,TRUE
ZkYRU6E3aBA7,Điển Ảnh Hồng Kông ở Chỗ Này Này,dien-anh-hong-kong-o-cho-nay-nay,empty,hot,TRUE
tYJYP56cAL0q,"Tôi Sợ Con Người Em rồi Đó, nhưng KHồng Bằng Sợ Ma",toi-so-con-nguoi-em-roi-do-nhung-khong-bang-so-ma,empty,hot,TRUE
MPCCn6GC8oa5,Yêu Kiểu Mỹ,yeu-kieu-my,empty,hot,TRUE
1u1KtMPAFON1,Xoắn Não Như Lakorn Thái,xoan-nao-nhu-lakorn-thai,empty,hot,TRUE
