_id,name,slug,profile_path,department_id
tcRrQ0JM_5Qn,Leonardo DiCaprio,leonardo-dicaprio,t/p/w300_and_h450_bestv2/ts9l18VkDSooRGDWIeQegNVHciC.jpg,gDFPjt7VZ50Z
rDoDRfMlJnJv,Brad Pitt,brad-pitt,t/p/w300_and_h450_bestv2/4rjnRCQ6bGFYdBb4UooOjsQy12c.jpg,gDFPjt7VZ50Z
aYRQvRJBnAJi,Scarlett Johansson,scarlett-johansson,t/p/w300_and_h450_bestv2/6NsMbJXRlDZuDzatN2akFdGuTvx.jpg,gDFPjt7VZ50Z
7JSTIzFSoDvK,Tom Hanks,tom-hanks,t/p/w300_and_h450_bestv2/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg,gDFPjt7VZ50Z
d49jD2tVDklj,Natalie Portman,natalie-portman,t/p/w300_and_h450_bestv2/qJ0ipMSZkIYvsOPh7e12l0AMoXl.jpg,gDFPjt7VZ50Z
xgPs9BScQG0X,Denzel Washington,denzel-washington,t/p/w300_and_h450_bestv2/9Iyt3wbsla5bM6IzbICDVnBhkER.jpg,gDFPjt7VZ50Z
T0NRQKzdyYV9,Jennifer Lawrence,jennifer-lawrence,t/p/w300_and_h450_bestv2/k6CsASaySnS3ag0Y2Ns2vqPahVn.jpg,gDFPjt7VZ50Z
5yoMR94khlTW,Morgan Freeman,morgan-freeman,t/p/w300_and_h450_bestv2/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,gDFPjt7VZ50Z
ANQZygSVptWO,Emma Stone,emma-stone,t/p/w300_and_h450_bestv2/8NwSfyYWIIUE1cI9Xhz92b0w7WD.jpg,gDFPjt7VZ50Z
haTy0NX5FXMT,Robert Downey Jr.,robert-downey-jr,t/p/w300_and_h450_bestv2/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg,gDFPjt7VZ50Z
pkHB8b8MZKn0,Anne Hathaway,anne-hathaway,t/p/w300_and_h450_bestv2/s6tflSD20MGz04ZR2R1lZvhmC4Y.jpg,gDFPjt7VZ50Z
uE71lFPh23mM,Johnny Depp,johnny-depp,t/p/w300_and_h450_bestv2/wcI594cwM4ArPwvRd2IU0Z0yLuh.jpg,gDFPjt7VZ50Z
w_HyMK19X7Ql,Julia Roberts,julia-roberts,t/p/w300_and_h450_bestv2/fQacAdIa1WUNChQ6FgEko13eqOA.jpg,gDFPjt7VZ50Z
ohxUCamA5NBm,Ryan Reynolds,ryan-reynolds,t/p/w300_and_h450_bestv2/4SYTH5FdB0dAORV98Nwg3llgVnY.jpg,gDFPjt7VZ50Z
6Bt0JL9vqfZM,Keanu Reeves,keanu-reeves,t/p/w300_and_h450_bestv2/8RZLOyYGsoRe9p44q3xin9QkMHv.jpg,gDFPjt7VZ50Z
Rm1pj0Wlc3RR,Zendaya,zendaya,t/p/w300_and_h450_bestv2/3WdOloHpjtjL96uVOhFRRCcYSwq.jpg,gDFPjt7VZ50Z
lIa8L318yBV1,Chris Hemsworth,chris-hemsworth,t/p/w300_and_h450_bestv2/piQGdoIQOF3C1EI5cbYZLAW1gfj.jpg,gDFPjt7VZ50Z
ryXkN4e8evhD,Angelina Jolie,angelina-jolie,t/p/w300_and_h450_bestv2/bXNxIKcJ5cNNW8QFrBPWcfTSu9x.jpg,gDFPjt7VZ50Z
UnTC3c3wLi9n,Hugh Jackman,hugh-jackman,t/p/w300_and_h450_bestv2/4Xujtewxqt6aU0Y81tsS9gkjizk.jpg,gDFPjt7VZ50Z
6Tf9jir1Otn9,Timothée Chalamet,timothee-chalamet,t/p/w300_and_h450_bestv2/BE2sdjpgsa2rNTFa66f7upkaOP.jpg,gDFPjt7VZ50Z
GV_iBK5XX9h8,Millie Bobby Brown,millie-bobby-brown,t/p/w300_and_h450_bestv2/xbcHTGvYAhJSVT9hwAS54055aHc.jpg,gDFPjt7VZ50Z
md8iZT3Nkj8X,Christian Bale,christian-bale,t/p/w300_and_h450_bestv2/7Pxez9J8fuPd2Mn9kex13YALrCQ.jpg,gDFPjt7VZ50Z
a6BSdn4FMm_a,Gal Gadot,gal-gadot,t/p/w300_and_h450_bestv2/qCJB1ACi5VjtY4ypXuv3hjAvbSu.jpg,gDFPjt7VZ50Z
GAg8RJwIPUdW,Michael B. Jordan,michael-b-jordan,t/p/w300_and_h450_bestv2/hz9AOUWZ2zzS0dpPJ1yQv2grA35.jpg,gDFPjt7VZ50Z
23y4vlsb0wYd,Saoirse Ronan,saoirse-ronan,t/p/w300_and_h450_bestv2/9buDPdqKN9vbnQLLkHEinDtMrCG.jpg,gDFPjt7VZ50Z
COMXu7qkyXDQ,Joaquin Phoenix,joaquin-phoenix,t/p/w300_and_h450_bestv2/u38k3hQBDwNX0VA22aQceDp9Iyv.jpg,gDFPjt7VZ50Z
oEn7D-Z5uwrZ,Margot Robbie,margot-robbie,t/p/w300_and_h450_bestv2/euDPyqLnuwaWMHajcU3oZ9uZezR.jpg,gDFPjt7VZ50Z
wILTnveM6K6e,Cillian Murphy,cillian-murphy,t/p/w300_and_h450_bestv2/llkbyWKwpfowZ6C8peBjIV9jj99.jpg,gDFPjt7VZ50Z
D_pfEkGeSsXt,Florence Pugh,florence-pugh,t/p/w300_and_h450_bestv2/6Sjz9teWjrMY9lF2o9FCo4XmoRh.jpg,gDFPjt7VZ50Z
